date,obs,sim
1998-12-15 00:00:00 +0000 UTC,1.8820187716126328e+06,927539.3277158848
1999-01-15 00:00:00 +0000 UTC,2.0894050093395738e+06,1.4314773764868323e+06
1999-02-15 00:00:00 +0000 UTC,2.0765266115841044e+06,1.9548888328104427e+06
1999-03-15 00:00:00 +0000 UTC,2.1882132036494487e+06,1.2817978179679555e+06
1999-04-15 00:00:00 +0000 UTC,2.4029267633569012e+06,1.0005532425828542e+06
1999-05-15 00:00:00 +0000 UTC,1.1670470318880237e+06,782868.3437504602
1999-06-15 00:00:00 +0000 UTC,1.9034013089204591e+06,1.937063408348304e+06
1999-07-15 00:00:00 +0000 UTC,743348.567076676,1.6582637151484871e+06
1999-08-15 00:00:00 +0000 UTC,718102.5160007704,1.1972138750889364e+06
1999-09-15 00:00:00 +0000 UTC,811248.6816816542,1.1310555834521211e+06
1999-10-15 00:00:00 +0000 UTC,1.5140969874471286e+06,2.2035650001972895e+06
1999-11-15 00:00:00 +0000 UTC,2.3309854965992314e+06,3.604455408411586e+06
1999-12-15 00:00:00 +0000 UTC,1.517871679375968e+06,2.3819895493235043e+06
2000-01-15 00:00:00 +0000 UTC,1.0601343400550252e+06,1.5495458758901283e+06
2000-02-15 00:00:00 +0000 UTC,2.5816696976263192e+06,1.4899760464729439e+06
2000-03-15 00:00:00 +0000 UTC,2.1082784583960366e+06,1.5688626432130914e+06
2000-04-15 00:00:00 +0000 UTC,2.3374246928300317e+06,1.6518575404869313e+06
2000-05-15 00:00:00 +0000 UTC,3.2318054571659425e+06,3.3840346992911957e+06
2000-06-15 00:00:00 +0000 UTC,4.015165815068013e+06,5.761497757337462e+06
2000-07-15 00:00:00 +0000 UTC,2.287909571353845e+06,4.0177404672022765e+06
2000-08-15 00:00:00 +0000 UTC,1.2483140134108127e+06,1.7354065651149128e+06
2000-09-15 00:00:00 +0000 UTC,1.4141785684532993e+06,1.637593891644834e+06
2000-10-15 00:00:00 +0000 UTC,1.107762116890259e+06,926756.6822050629
2000-11-15 00:00:00 +0000 UTC,1.579821090734892e+06,1.1947715833550454e+06
2000-12-15 00:00:00 +0000 UTC,1.4854537157528137e+06,1.200184954075757e+06
2001-01-15 00:00:00 +0000 UTC,1.3759875307044338e+06,319330.6371718954
2001-02-15 00:00:00 +0000 UTC,2.456216582055795e+06,896765.395225392
2001-03-15 00:00:00 +0000 UTC,2.5645725450671553e+06,2.078426307376689e+06
2001-04-15 00:00:00 +0000 UTC,4.154385472672255e+06,6.804124589486363e+06
2001-05-15 00:00:00 +0000 UTC,1.5926994673148901e+06,2.0401923967887321e+06
2001-06-15 00:00:00 +0000 UTC,1.064641778740053e+06,1.5627266466235616e+06
2001-07-15 00:00:00 +0000 UTC,761711.3577234583,966729.6309019763
2001-08-15 00:00:00 +0000 UTC,554391.7539118852,343046.1959368977
2001-09-15 00:00:00 +0000 UTC,721943.8272868403,370257.49804635573
2001-10-15 00:00:00 +0000 UTC,1.6251174415257794e+06,1.6114634910481437e+06
2001-11-15 00:00:00 +0000 UTC,1.7001672807541338e+06,1.8156039107856876e+06
2001-12-15 00:00:00 +0000 UTC,2.4166933000967507e+06,2.9610887226246833e+06
2002-01-15 00:00:00 +0000 UTC,1.587370490474175e+06,1.4051082524299535e+06
2002-02-15 00:00:00 +0000 UTC,2.488412504977253e+06,1.532929173389548e+06
2002-03-15 00:00:00 +0000 UTC,2.2752532513571475e+06,2.355632397966302e+06
2002-04-15 00:00:00 +0000 UTC,3.2564520385806635e+06,3.310189686815145e+06
2002-05-15 00:00:00 +0000 UTC,4.111753657946536e+06,3.8899690919248518e+06
2002-06-15 00:00:00 +0000 UTC,3.8617356028469424e+06,4.328886906100643e+06
2002-07-15 00:00:00 +0000 UTC,1.1706218922145108e+06,1.754724052459918e+06
2002-08-15 00:00:00 +0000 UTC,893248.3861382257,1.2101051029988881e+06
2002-09-15 00:00:00 +0000 UTC,631439.9475443045,462779.41100992553
2002-10-15 00:00:00 +0000 UTC,984973.4923870257,608673.941949645
2002-11-15 00:00:00 +0000 UTC,1.5309720887168604e+06,1.0481787345301398e+06
2002-12-15 00:00:00 +0000 UTC,1.5385214884561438e+06,837494.5067451594
2003-01-15 00:00:00 +0000 UTC,1.1277457919541425e+06,468667.3341544643
2003-02-15 00:00:00 +0000 UTC,814446.0693742435,245590.90088421188
2003-03-15 00:00:00 +0000 UTC,4.588031394535666e+06,3.3161926360255354e+06
2003-04-15 00:00:00 +0000 UTC,3.1651932360692704e+06,2.1125406039303164e+06
2003-05-15 00:00:00 +0000 UTC,2.838793102825011e+06,2.6471549553594887e+06
2003-06-15 00:00:00 +0000 UTC,1.450548878271509e+06,1.776097526790248e+06
2003-07-15 00:00:00 +0000 UTC,656397.3478255521,745648.6665227814
2003-08-15 00:00:00 +0000 UTC,896134.9218776141,762322.2945021369
2003-09-15 00:00:00 +0000 UTC,1.0388628178041799e+06,796121.0431918779
2003-10-15 00:00:00 +0000 UTC,1.5434063838934652e+06,1.6890471704597753e+06
2003-11-15 00:00:00 +0000 UTC,2.582779872018529e+06,2.8934567764181714e+06
2003-12-15 00:00:00 +0000 UTC,2.681144035216755e+06,3.980091172797256e+06
2004-01-15 00:00:00 +0000 UTC,1.8384987676107886e+06,1.8061865224334055e+06
2004-02-15 00:00:00 +0000 UTC,870622.4171951915,268574.8808350188
2004-03-15 00:00:00 +0000 UTC,4.355332532696932e+06,5.605832473498842e+06
2004-04-15 00:00:00 +0000 UTC,2.9102902670038166e+06,2.8962014522952144e+06
2004-05-15 00:00:00 +0000 UTC,3.057947476566392e+06,3.5347472116216975e+06
2004-06-15 00:00:00 +0000 UTC,1.2580838201670598e+06,2.1332535592267322e+06
2004-07-15 00:00:00 +0000 UTC,1.505659435488795e+06,1.900865195682984e+06
2004-08-15 00:00:00 +0000 UTC,1.1792592916568003e+06,1.280143565464869e+06
2004-09-15 00:00:00 +0000 UTC,978312.2607483964,687921.053576623
2004-10-15 00:00:00 +0000 UTC,931239.5922847384,317690.32939753967
2004-11-15 00:00:00 +0000 UTC,1.5363010734983773e+06,751911.7731172479
2004-12-15 00:00:00 +0000 UTC,1.838276734849894e+06,945343.7624520548
2005-01-15 00:00:00 +0000 UTC,2.220187109691615e+06,2.4567769343180247e+06
2005-02-15 00:00:00 +0000 UTC,1.7234815703138656e+06,2.1054388216983816e+06
2005-03-15 00:00:00 +0000 UTC,1.5254210791152508e+06,1.3545991682456152e+06
2005-04-15 00:00:00 +0000 UTC,5.841230313971536e+06,3.181879231470923e+06
2005-05-15 00:00:00 +0000 UTC,1.8151844674633218e+06,1.6015465416541654e+06
2005-06-15 00:00:00 +0000 UTC,1.1714434409579344e+06,851972.8445548124
2005-07-15 00:00:00 +0000 UTC,629263.9468148255,387290.74398479203
2005-08-15 00:00:00 +0000 UTC,672584.1350959218,335608.28802429116
2005-09-15 00:00:00 +0000 UTC,825792.3569070408,493248.1105719009
2005-10-15 00:00:00 +0000 UTC,1.0973261853819883e+06,775266.6514946258
2005-11-15 00:00:00 +0000 UTC,1.5582831267887324e+06,1.107782459006337e+06
2005-12-15 00:00:00 +0000 UTC,2.398041875860381e+06,1.9227288363498212e+06
2006-01-15 00:00:00 +0000 UTC,2.79596138635319e+06,3.784085043440332e+06
2006-02-15 00:00:00 +0000 UTC,3.0721358842868246e+06,3.452659438657533e+06
2006-03-15 00:00:00 +0000 UTC,4.686573196118505e+06,4.28883760572151e+06
2006-04-15 00:00:00 +0000 UTC,3.3534838940422977e+06,3.005087377667345e+06
2006-05-15 00:00:00 +0000 UTC,1.8220455320277696e+06,2.28899612523234e+06
2006-06-15 00:00:00 +0000 UTC,1.2823084776625207e+06,1.588412489531053e+06
2006-07-15 00:00:00 +0000 UTC,1.5325485840515466e+06,2.5731891540463916e+06
2006-08-15 00:00:00 +0000 UTC,943585.065622104,1.5384430931698421e+06
2006-09-15 00:00:00 +0000 UTC,1.332400913962694e+06,1.5383138407929223e+06
2006-10-15 00:00:00 +0000 UTC,1.995126407228458e+06,2.388552920582247e+06
2006-11-15 00:00:00 +0000 UTC,2.196628550478838e+06,2.336862712471949e+06
2006-12-15 00:00:00 +0000 UTC,3.0249965845547332e+06,3.3917942081649816e+06
2007-01-15 00:00:00 +0000 UTC,2.0969543852564518e+06,2.522045132816954e+06
2007-02-15 00:00:00 +0000 UTC,1.0744559772256496e+06,491064.4439338306
2007-03-15 00:00:00 +0000 UTC,3.9734665654661637e+06,3.5810753700971077e+06
2007-04-15 00:00:00 +0000 UTC,2.9721952601640527e+06,2.7049361326743555e+06
2007-05-15 00:00:00 +0000 UTC,1.4718647935751707e+06,1.4689135626846238e+06
2007-06-15 00:00:00 +0000 UTC,890628.3092992214,1.2353500908375022e+06
2007-07-15 00:00:00 +0000 UTC,689881.1126401038,574892.7294877702
2007-08-15 00:00:00 +0000 UTC,579793.2329495914,264289.4713211801
2007-09-15 00:00:00 +0000 UTC,659927.7992176199,267203.27560843836
2007-10-15 00:00:00 +0000 UTC,1.077142681362686e+06,616082.6803196036
2007-11-15 00:00:00 +0000 UTC,1.2074806923705325e+06,941862.312171072
2007-12-15 00:00:00 +0000 UTC,2.580559496764771e+06,1.0789575326761235e+06
2008-01-15 00:00:00 +0000 UTC,3.359034906290841e+06,2.9883298289525546e+06
2008-02-15 00:00:00 +0000 UTC,2.2956809959132206e+06,2.026390062594736e+06
2008-03-15 00:00:00 +0000 UTC,2.7484224101817235e+06,2.4081738546448676e+06
2008-04-15 00:00:00 +0000 UTC,6.737165387041727e+06,6.060784125804412e+06
2008-05-15 00:00:00 +0000 UTC,2.0141109269275141e+06,2.5645940702353865e+06
2008-06-15 00:00:00 +0000 UTC,1.6837362476531244e+06,2.6396782315427656e+06
2008-07-15 00:00:00 +0000 UTC,1.0968599094373877e+06,1.9833335217150429e+06
2008-08-15 00:00:00 +0000 UTC,3.1725427525909888e+06,3.316552339214027e+06
2008-09-15 00:00:00 +0000 UTC,1.6885767434202963e+06,2.2498448095214227e+06
2008-10-15 00:00:00 +0000 UTC,1.7507926110326708e+06,1.5589074478630365e+06
2008-11-15 00:00:00 +0000 UTC,2.381855070061474e+06,1.7615585928882575e+06
2008-12-15 00:00:00 +0000 UTC,5.240609660026495e+06,3.1173083515437176e+06
2009-01-15 00:00:00 +0000 UTC,3.011318833920514e+06,2.4560606793257645e+06
2009-02-15 00:00:00 +0000 UTC,4.39263537322887e+06,4.256789871811509e+06
2009-03-15 00:00:00 +0000 UTC,5.824155281839429e+06,5.301700555695154e+06
2009-04-15 00:00:00 +0000 UTC,6.379013454630347e+06,5.943315025098486e+06
2009-05-15 00:00:00 +0000 UTC,4.460135857715819e+06,4.499005235262116e+06
2009-06-15 00:00:00 +0000 UTC,2.085408260827434e+06,2.5161783406337933e+06
2009-07-15 00:00:00 +0000 UTC,2.1406964458415965e+06,1.7044291026917591e+06
2009-08-15 00:00:00 +0000 UTC,2.817255112409512e+06,2.4165439482793445e+06
2009-09-15 00:00:00 +0000 UTC,1.2878373006637248e+06,1.1830050834855894e+06
2009-10-15 00:00:00 +0000 UTC,2.31411039003563e+06,1.609319885778501e+06
2009-11-15 00:00:00 +0000 UTC,2.0940678746629355e+06,1.148409457163414e+06
2009-12-15 00:00:00 +0000 UTC,2.320771611086524e+06,1.124047599730732e+06
2010-01-15 00:00:00 +0000 UTC,2.0394457879314567e+06,1.2591428310034699e+06
2010-02-15 00:00:00 +0000 UTC,1.3615548745064286e+06,674353.0953740206
2010-03-15 00:00:00 +0000 UTC,5.7195518770951815e+06,2.6588071303212126e+06
2010-04-15 00:00:00 +0000 UTC,2.297013250711136e+06,1.524368884324166e+06
2010-05-15 00:00:00 +0000 UTC,2.1546850338708786e+06,1.8408760238772032e+06
2010-06-15 00:00:00 +0000 UTC,1.7947567070256441e+06,2.2015202781961467e+06
2010-07-15 00:00:00 +0000 UTC,1.3213654730892286e+06,1.812990844988107e+06
2010-08-15 00:00:00 +0000 UTC,1.1155335388027008e+06,1.26512631317441e+06
2010-09-15 00:00:00 +0000 UTC,1.206126245678345e+06,1.1314760275717368e+06
2010-10-15 00:00:00 +0000 UTC,1.6599778713961318e+06,1.3535134986792516e+06
2010-11-15 00:00:00 +0000 UTC,1.8296171236613272e+06,1.322137507284786e+06
2010-12-15 00:00:00 +0000 UTC,1.9504073765554244e+06,1.3500609798060153e+06
2011-01-15 00:00:00 +0000 UTC,1.7885395488496055e+06,1.7663946289409613e+06
2011-02-15 00:00:00 +0000 UTC,1.578488854465515e+06,1.2578314062029785e+06
2011-03-15 00:00:00 +0000 UTC,5.910062947379041e+06,3.9933003904900476e+06
2011-04-15 00:00:00 +0000 UTC,3.6103852241291516e+06,2.4482424365290785e+06
2011-05-15 00:00:00 +0000 UTC,2.9962200926744957e+06,2.6875835403905814e+06
2011-06-15 00:00:00 +0000 UTC,1.4699108481055242e+06,2.129992885708872e+06
2011-07-15 00:00:00 +0000 UTC,1.0264063320567681e+06,1.3258080285981796e+06
2011-08-15 00:00:00 +0000 UTC,1.5620578240114397e+06,2.196350412050253e+06
2011-09-15 00:00:00 +0000 UTC,1.1495058005723997e+06,1.2793863682796306e+06
2011-10-15 00:00:00 +0000 UTC,2.126041748941894e+06,1.943679001769986e+06
2011-11-15 00:00:00 +0000 UTC,1.7527909720540708e+06,1.2407744427418201e+06
2011-12-15 00:00:00 +0000 UTC,3.7240702116260375e+06,3.542445742446718e+06
2012-01-15 00:00:00 +0000 UTC,2.158459709918115e+06,2.2745425932285306e+06
2012-02-15 00:00:00 +0000 UTC,1.9108840893025126e+06,2.238475459755734e+06
2012-03-15 00:00:00 +0000 UTC,3.7089714386168104e+06,1.9429438103110522e+06
2012-04-15 00:00:00 +0000 UTC,1.7383583185029991e+06,851868.6504087335
2012-05-15 00:00:00 +0000 UTC,1.6788513416280663e+06,1.2884633573315283e+06
2012-06-15 00:00:00 +0000 UTC,1.597584365399146e+06,1.551764589213523e+06
2012-07-15 00:00:00 +0000 UTC,908036.3098411858,905501.7081775278
2012-08-15 00:00:00 +0000 UTC,2.192431976981682e+06,2.300234420775607e+06
2012-09-15 00:00:00 +0000 UTC,1.705496257594849e+06,2.2994343550442816e+06
2012-10-15 00:00:00 +0000 UTC,2.162678496485017e+06,2.294816283767579e+06
2012-11-15 00:00:00 +0000 UTC,2.641842804547144e+06,2.9522270365300984e+06
2012-12-15 00:00:00 +0000 UTC,2.4371210605344274e+06,2.0116607913585687e+06
2013-01-15 00:00:00 +0000 UTC,2.8554461342767742e+06,3.1706562450588197e+06
2013-02-15 00:00:00 +0000 UTC,1.683958291001755e+06,1.5391209646889e+06
2013-03-15 00:00:00 +0000 UTC,4.398408415591375e+06,3.59137621622562e+06
2013-04-15 00:00:00 +0000 UTC,5.094062669854006e+06,3.464319968071402e+06
2013-05-15 00:00:00 +0000 UTC,2.6465056381072975e+06,2.3473732043350064e+06
2013-06-15 00:00:00 +0000 UTC,2.4644321144879037e+06,3.1038400598878926e+06
2013-07-15 00:00:00 +0000 UTC,984307.3729288706,1.7844869371076464e+06
2013-08-15 00:00:00 +0000 UTC,1.2509784991842357e+06,1.8918418827052673e+06
2013-09-15 00:00:00 +0000 UTC,1.857150213022631e+06,1.7003689396673883e+06
2013-10-15 00:00:00 +0000 UTC,2.1777772906697155e+06,2.164546840052241e+06
2013-11-15 00:00:00 +0000 UTC,2.2730328284585793e+06,2.2167941919520306e+06
2013-12-15 00:00:00 +0000 UTC,1.6466554160596754e+06,1.1553705618751317e+06
2014-01-15 00:00:00 +0000 UTC,2.136921745971955e+06,1.5636570177293522e+06
2014-02-15 00:00:00 +0000 UTC,2.2230736282259333e+06,635284.5901644919
2014-03-15 00:00:00 +0000 UTC,3.563312584781767e+06,1.4323841445233526e+06
